date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:02	172123/172123	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2004:09:18%20GMT	https://cocohitech.com/vi/	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/vi/index.html	(from )
11:05:10	184/184	---M-Z	200	added ('OK')	text/plain	date:Wed,%2014%20Jan%202026%2004:09:27%20GMT	https://cocohitech.com/robots.txt		(from )
11:05:11	53856/53856	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d260-65f83d75-1e4a6b;gz%22	https://cocohitech.com/wp-content/themes/flatsome/assets/js/flatsome.js?ver=a0a7aee297766598a20e	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-content/themes/flatsome/assets/js/flatsomeaeec.js	(from https://cocohitech.com/vi/)
11:05:11	49913/49913	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c2f9-65f83d75-1e4a62;gz%22	https://cocohitech.com/wp-content/themes/flatsome/assets/js/chunk.slider.js?ver=3.18.5	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-content/themes/flatsome/assets/js/chunk.sliderb8cf.js	(from https://cocohitech.com/vi/)
11:05:11	20041/20041	---M-Z	200	added ('OK')	application/x-javascript	etag:%224e49-65f83d75-1e473e;gz%22	https://cocohitech.com/wp-content/themes/flatsome/assets/js/chunk.popups.js?ver=3.18.5	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-content/themes/flatsome/assets/js/chunk.popupsb8cf.js	(from https://cocohitech.com/vi/)
11:05:11	39860/39860	---M-Z	200	added ('OK')	application/x-javascript	etag:%229bb4-65f83d75-1e4a63;gz%22	https://cocohitech.com/wp-content/themes/flatsome/assets/js/chunk.tooltips.js?ver=3.18.5	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-content/themes/flatsome/assets/js/chunk.tooltipsb8cf.js	(from https://cocohitech.com/vi/)
11:05:12	21855/21855	---M-Z	200	added ('OK')	application/x-javascript	etag:%22555f-65f83d75-1e4a6c;gz%22	https://cocohitech.com/wp-content/themes/flatsome/assets/js/woocommerce.js?ver=49415fe6a9266f32f1f2	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-content/themes/flatsome/assets/js/woocommerce9c5c.js	(from https://cocohitech.com/vi/)
11:05:12	14006/14006	---M-Z	200	added ('OK')	text/css	etag:%2236b6-69499938-30295a;gz%22	https://cocohitech.com/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocks.css?ver=wc-10.4.3	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocks5210.css	(from https://cocohitech.com/vi/)
11:05:12	17345/17345	---M-Z	200	added ('OK')	text/css	etag:%2243c1-5ea246d5-1c16f4;gz%22	https://cocohitech.com/wp-content/plugins/devvn-quick-buy/css/devvn-quick-buy.css?ver=2.0.9.1	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-content/plugins/devvn-quick-buy/css/devvn-quick-buy5bfb.css	(from https://cocohitech.com/vi/)
11:05:12	151701/151701	---M-Z	200	added ('OK')	text/css	etag:%2225095-65f83d75-1e3ec2;gz%22	https://cocohitech.com/wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.18.5	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-content/themes/flatsome/assets/css/flatsomeb8cf.css	(from https://cocohitech.com/vi/)
11:05:12	30106/30106	---M-Z	200	added ('OK')	text/css	etag:%22759a-65f83d75-1e3ec1;gz%22	https://cocohitech.com/wp-content/themes/flatsome/assets/css/flatsome-shop.css?ver=3.18.5	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-content/themes/flatsome/assets/css/flatsome-shopb8cf.css	(from https://cocohitech.com/vi/)
11:05:13	303/303	---M-Z	200	added ('OK')	text/css	etag:%2212f-5bbc4f92-1e0c56;gz%22	https://cocohitech.com/wp-content/themes/flatsome-child/style.css?ver=3.0	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-content/themes/flatsome-child/style6aec.css	(from https://cocohitech.com/vi/)
11:05:13	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-656f3354-120bc0;gz%22	https://cocohitech.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://cocohitech.com/vi/)
11:05:13	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-64e2db82-120bb8;gz%22	https://cocohitech.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://cocohitech.com/vi/)
11:05:13	18905/18905	---M-Z	200	added ('OK')	application/x-javascript	etag:%2249d9-682f473c-120aee;gz%22	https://cocohitech.com/wp-includes/js/underscore.min.js?ver=1.13.7	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-includes/js/underscore.min3ab8.js	(from https://cocohitech.com/vi/)
11:05:14	1426/1426	---M-Z	200	added ('OK')	application/x-javascript	etag:%22592-6361e226-120b0d;gz%22	https://cocohitech.com/wp-includes/js/wp-util.min.js?ver=8b35e3396f0cbe1e80fba24ebddd3723	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-includes/js/wp-util.mine7a7.js	(from https://cocohitech.com/vi/)
11:05:14	9636/9636	---M-Z	200	added ('OK')	application/x-javascript	etag:%2225a4-69499939-3037ad;gz%22	https://cocohitech.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.10.4.3	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.minae83.js	(from https://cocohitech.com/vi/)
11:05:14	4350/4350	---M-Z	200	added ('OK')	application/x-javascript	etag:%2210fe-69499939-303785;gz%22	https://cocohitech.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=10.4.3	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.minf607.js	(from https://cocohitech.com/vi/)
11:05:14	1720/1720	---M-Z	200	added ('OK')	application/x-javascript	etag:%226b8-69499939-3037c5;gz%22	https://cocohitech.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.10.4.3	C:/My%20Web%20Sites/cot%20dua/cocohitech.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.minf503.js	(from https://cocohitech.com/vi/)
